,player_id,player_name,web_name,first_name,second_name,team_id,players_team,was_home,players_team_score,opponent_team_score,round,round_minutes,round_points,transfer_cost,transfers_balance,selected,transfers_in,transfers_out,ict_index,position_id,position_name,position_name_abbr,next_week_round_points,cumsum_minutes,cumsum_points,cumsum_ict_index,cumsum_transfers_in,cumsum_transfers_out,next_week_is_home,next_week_opponent_team_name
44,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,0.0,1.0,3,0,0,4,-8078,58537,1710,9788,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,14944,1,Nott'm Forest
45,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,3.0,0.0,4,0,0,4,-7317,51317,0,7317,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,22261,1,Man City
46,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,1.0,1.0,5,0,0,4,-3824,47871,0,3824,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,26085,0,Newcastle
47,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,2.0,1.0,6,0,0,4,-3374,44510,0,3374,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,29459,1,West Ham
48,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,2.0,0.0,7,0,0,4,-2897,41629,0,2897,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,32356,0,Fulham
49,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,1.0,0.0,8,0,0,4,-2704,39034,0,2704,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,35060,1,Crystal Palace
50,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,1.0,0.0,9,0,0,4,-1749,37371,0,1749,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,36809,0,Burnley
51,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,2.0,0.0,10,0,0,4,-1888,35449,0,1888,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,38697,0,Sunderland
52,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,2.0,2.0,11,0,0,4,-1526,33938,0,1526,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,40223,1,Spurs
53,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,4.0,1.0,12,0,0,4,-923,33051,0,923,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,41146,0,Chelsea
54,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,1.0,1.0,13,0,0,4,-773,32283,0,773,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,41919,1,Brentford
55,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,2.0,0.0,14,0,0,4,-517,31803,0,517,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,42436,0,Aston Villa
56,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,1.0,2.0,15,0,0,4,-609,31205,0,609,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,43045,1,Wolves
57,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,2.0,1.0,16,0,0,4,-1348,29841,0,1348,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,44393,0,Everton
58,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,1.0,0.0,17,0,0,4,-588,29272,0,588,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,44981,1,Brighton
59,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,2.0,1.0,18,0,0,4,-567,28681,0,567,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,45548,1,Aston Villa
60,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,4.0,1.0,19,0,0,4,-345,28379,0,345,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,45893,0,Bournemouth
61,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,0,3.0,2.0,20,0,0,4,-200,28210,0,200,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,5545,46093,1,Liverpool
62,3,Karl Hein,Hein,Karl,Hein,1,Arsenal,1,,,21,0,0,4,-262,27956,0,262,0.0,1,Goalkeeper,GKP,,0,0,0.0,5545,46355,0,Nott'm Forest
63,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,1.0,0.0,1,0,0,4,0,13373,0,0,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,0,0,1,Leeds
64,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,5.0,0.0,2,0,0,4,-533,16324,982,1515,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,982,1515,0,Liverpool
65,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,0.0,1.0,3,0,0,4,249,20855,2209,1960,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,3191,3475,1,Nott'm Forest
66,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,3.0,0.0,4,0,0,4,1786,24801,3875,2089,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,7066,5564,1,Man City
67,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,1.0,1.0,5,0,0,4,1405,27540,3043,1638,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,10109,7202,0,Newcastle
68,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,2.0,1.0,6,0,0,4,576,28376,2428,1852,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,12537,9054,1,West Ham
69,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,2.0,0.0,7,0,0,4,-1019,26881,820,1839,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,13357,10893,0,Fulham
70,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,1.0,0.0,8,0,0,4,-883,26701,915,1798,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,14272,12691,1,Crystal Palace
71,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,1.0,0.0,9,0,0,4,-688,26279,578,1266,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,14850,13957,0,Burnley
72,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,2.0,0.0,10,0,0,4,-948,25474,404,1352,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,15254,15309,0,Sunderland
73,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,2.0,2.0,11,0,0,4,-962,24778,316,1278,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,15570,16587,1,Spurs
74,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,4.0,1.0,12,0,0,4,-370,25070,414,784,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,15984,17371,0,Chelsea
75,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,1.0,1.0,13,0,0,4,-369,25190,280,649,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,16264,18020,1,Brentford
76,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,2.0,0.0,14,0,0,3,569,28146,1112,543,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,17376,18563,0,Aston Villa
77,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,1.0,2.0,15,0,0,3,1145,33152,1858,713,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,19234,19276,1,Wolves
78,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,2.0,1.0,16,0,0,3,504,28260,2455,1951,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,21689,21227,0,Everton
79,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,1.0,0.0,17,0,0,3,1697,33449,2651,954,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,24340,22181,1,Brighton
80,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,2.0,1.0,18,0,0,3,1314,42592,2512,1198,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,26852,23379,1,Aston Villa
81,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,4.0,1.0,19,0,0,3,891,50506,1828,937,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,28680,24316,0,Bournemouth
82,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,0,3.0,2.0,20,0,0,3,183,33010,1222,1039,0.0,1,Goalkeeper,GKP,0.0,0,0,0.0,29902,25355,1,Liverpool
83,4,Tommy Setford,Setford,Tommy,Setford,1,Arsenal,1,,,21,0,0,3,19,33693,1208,1189,0.0,1,Goalkeeper,GKP,,0,0,0.0,31110,26544,0,Nott'm Forest
84,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,1.0,0.0,1,90,6,6,0,1696374,0,0,2.7,2,Defender,DEF,6.0,90,6,2.7,0,0,1,Leeds
85,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,5.0,0.0,2,90,6,6,254939,2292996,335537,80598,2.3,2,Defender,DEF,2.0,180,12,5.0,335537,80598,0,Liverpool
86,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,0.0,1.0,3,90,2,6,-28048,2291736,137723,165771,1.9,2,Defender,DEF,9.0,270,14,6.9,473260,246369,1,Nott'm Forest
87,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,3.0,0.0,4,90,9,6,89836,2531223,230780,140944,3.8,2,Defender,DEF,2.0,360,23,10.7,704040,387313,1,Man City
88,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,1.0,1.0,5,90,2,6,45804,2599245,134864,89060,2.2,2,Defender,DEF,13.0,450,25,12.9,838904,476373,0,Newcastle
89,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,2.0,1.0,6,90,13,6,186233,2819407,315054,128821,11.2,2,Defender,DEF,9.0,540,38,24.099999999999998,1153958,605194,1,West Ham
90,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,2.0,0.0,7,90,9,6,504651,3404817,596289,91638,2.9,2,Defender,DEF,12.0,630,47,27.0,1750247,696832,0,Fulham
91,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,1.0,0.0,8,90,12,6,410059,3866736,480852,70793,6.0,2,Defender,DEF,9.0,720,59,33.0,2231099,767625,1,Crystal Palace
92,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,1.0,0.0,9,90,9,6,434572,4322773,494883,60311,4.7,2,Defender,DEF,12.0,810,68,37.7,2725982,827936,0,Burnley
93,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,2.0,0.0,10,90,12,6,516984,4909124,567316,50332,5.1,2,Defender,DEF,1.0,900,80,42.8,3293298,878268,0,Sunderland
94,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,2.0,2.0,11,90,1,6,473066,5407553,481238,8172,4.1,2,Defender,DEF,0.0,990,81,46.9,3774536,886440,1,Spurs
95,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,4.0,1.0,12,0,0,6,-1569853,3689125,95144,1664997,0.0,2,Defender,DEF,0.0,990,81,46.9,3869680,2551437,0,Chelsea
96,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,1.0,1.0,13,0,0,6,-1020768,2713183,3915,1024683,0.0,2,Defender,DEF,0.0,990,81,46.9,3873595,3576120,1,Brentford
97,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,2.0,0.0,14,0,0,6,-425711,2385345,2694,428405,0.0,2,Defender,DEF,0.0,990,81,46.9,3876289,4004525,0,Aston Villa
98,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,1.0,2.0,15,0,0,6,-307592,2091264,2230,309822,0.0,2,Defender,DEF,0.0,990,81,46.9,3878519,4314347,1,Wolves
99,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,2.0,1.0,16,0,0,6,-342767,1755432,5998,348765,0.0,2,Defender,DEF,0.0,990,81,46.9,3884517,4663112,0,Everton
100,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,1.0,0.0,17,0,0,6,-134691,1631350,2498,137189,0.0,2,Defender,DEF,1.0,990,81,46.9,3887015,4800301,1,Brighton
101,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,2.0,1.0,18,19,1,6,-73834,1558977,2763,76597,0.3,2,Defender,DEF,15.0,1009,82,47.199999999999996,3889778,4876898,1,Aston Villa
102,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,4.0,1.0,19,76,15,6,311052,1947230,327050,15998,8.4,2,Defender,DEF,9.0,1085,97,55.6,4216828,4892896,0,Bournemouth
103,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,0,3.0,2.0,20,90,9,6,1000786,2932696,1009482,8696,7.6,2,Defender,DEF,0.0,1175,106,63.199999999999996,5226310,4901592,1,Liverpool
104,5,Gabriel dos Santos Magalhães,Gabriel,Gabriel,dos Santos Magalhães,1,Arsenal,1,,,21,0,0,6,796394,3718272,813598,17204,0.0,2,Defender,DEF,,1175,106,63.199999999999996,6039908,4918796,0,Nott'm Forest
105,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,1.0,0.0,1,90,9,6,0,1257079,0,0,3.2,2,Defender,DEF,6.0,90,9,3.2,0,0,1,Leeds
106,6,William Saliba,Saliba,William,Saliba,1,Arsenal,1,5.0,0.0,2,90,6,6,247702,1933946,311233,63531,2.3,2,Defender,DEF,1.0,180,15,5.5,311233,63531,0,Liverpool
107,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,0.0,1.0,3,4,1,6,-10170,2042178,133191,143361,0.3,2,Defender,DEF,0.0,184,16,5.8,444424,206892,1,Nott'm Forest
108,6,William Saliba,Saliba,William,Saliba,1,Arsenal,1,3.0,0.0,4,0,0,6,-439095,1635010,26222,465317,0.0,2,Defender,DEF,2.0,184,16,5.8,470646,672209,1,Man City
109,6,William Saliba,Saliba,William,Saliba,1,Arsenal,1,1.0,1.0,5,90,2,6,-198404,1469699,9735,208139,2.9,2,Defender,DEF,1.0,274,18,8.7,480381,880348,0,Newcastle
110,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,2.0,1.0,6,45,1,6,-13772,1489252,52699,66471,1.9,2,Defender,DEF,6.0,319,19,10.6,533080,946819,1,West Ham
111,6,William Saliba,Saliba,William,Saliba,1,Arsenal,1,2.0,0.0,7,90,6,6,10476,1526375,75755,65279,3.0,2,Defender,DEF,6.0,409,25,13.6,608835,1012098,0,Fulham
112,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,1.0,0.0,8,90,6,6,-6407,1537530,47792,54199,2.2,2,Defender,DEF,1.0,499,31,15.8,656627,1066297,1,Crystal Palace
113,6,William Saliba,Saliba,William,Saliba,1,Arsenal,1,1.0,0.0,9,45,1,6,4680,1553786,41394,36714,0.9,2,Defender,DEF,6.0,544,32,16.7,698021,1103011,0,Burnley
114,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,2.0,0.0,10,90,6,6,-124697,1429278,30644,155341,2.5,2,Defender,DEF,1.0,634,38,19.2,728665,1258352,0,Sunderland
115,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,2.0,2.0,11,90,1,6,-3915,1441342,30010,33925,2.8,2,Defender,DEF,2.0,724,39,22.0,758675,1292277,1,Spurs
116,6,William Saliba,Saliba,William,Saliba,1,Arsenal,1,4.0,1.0,12,90,2,6,106752,1568953,136915,30163,1.7,2,Defender,DEF,0.0,814,41,23.7,895590,1322440,0,Chelsea
117,6,William Saliba,Saliba,William,Saliba,1,Arsenal,0,1.0,1.0,13,0,0,6,43523,1600156,74221,30698,0.0,2,Defender,DEF,0.0,814,41,23.7,969811,1353138,1,Brentford
